Id,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,EducationYears,Passport,Exited
27,Wilkie,528,Italy,Female,32.0,0,68138.37,1,1.0,1.0,170309.19,11.0,17534537,0
28,Mai,713,EEUU,Female,32.0,1,117094.02,1,0.0,0.0,149558.83,11.2,25519182,1
29,King,664,EEUU,Female,38.0,4,74306.19,2,1.0,0.0,154395.56,12.0,14814648,0
30,Chigozie,680,EEUU,Female,30.0,8,141441.75,1,1.0,1.0,16278.97,12.1,14472731,0
31,Grigoryeva,819,EEUU,Female,38.0,10,0.0,2,1.0,0.0,30498.7,9.3,25414891,0
32,Yeh,510,EEUU,Female,45.0,10,103821.47,2,0.0,1.0,77878.62,12.3,22662937,0
33,Cheng,628,France,Female,45.0,6,53667.44,1,1.0,0.0,115022.94,11.9,25587729,0
34,Chesnokova,748,EEUU,Male,34.0,5,84009.47,1,1.0,1.0,137001.1,13.0,24082875,0
35,T'ang,579,Italy,Male,56.0,4,99340.83,1,0.0,0.0,4523.74,11.6,18224942,1
36,Hamilton,531,Italy,Male,31.0,2,118899.45,2,0.0,0.0,41409.36,10.2,24899332,0
37,King,587,Italy,Female,34.0,1,0.0,2,1.0,1.0,97932.68,11.3,14055592,0
38,Yefremova,711,Italy,Male,38.0,3,128718.78,1,0.0,0.0,114793.45,12.7,28064464,0
39,Dennis,613,EEUU,Male,44.0,3,0.0,2,0.0,1.0,136491.72,11.9,11929223,0
40,Amies,560,EEUU,Female,31.0,3,115141.18,1,1.0,0.0,39806.75,10.0,25673159,0
41,Bull,475,EEUU,Female,45.0,0,134264.04,1,1.0,0.0,27822.99,11.8,25918549,1
42,Jamieson,662,Italy,Female,42.0,6,105021.28,1,1.0,0.0,48242.38,13.0,23029051,0
43,Carslaw,440,EEUU,Male,42.0,2,0.0,2,1.0,0.0,49826.68,12.3,12618373,0
44,Walker,668,Italy,Male,32.0,1,134446.04,1,0.0,1.0,111241.37,12.1,23749087,0
45,Feng,582,France,Male,41.0,6,70349.48,2,0.0,1.0,178074.04,11.6,18629410,0
46,Stiger,674,EEUU,Male,37.0,3,0.0,1,1.0,0.0,158049.9,13.6,14659287,0
47,Hunter,692,France,Female,43.0,2,69014.49,2,0.0,0.0,164621.43,12.4,10430600,0
48,Okeke,521,EEUU,Male,38.0,5,110641.18,1,0.0,1.0,136507.69,11.7,14707875,1
49,Somerville,759,Italy,Female,35.0,7,147936.42,1,1.0,1.0,106785.7,10.0,22643422,0
50,Enyinnaya,715,France,Male,42.0,2,88120.97,2,1.0,1.0,21333.22,9.9,14536362,0
51,Bradshaw,655,France,Female,30.0,1,83173.98,2,1.0,1.0,184259.6,13.3,27987717,0
52,Seleznyova,763,EEUU,Male,67.0,1,149436.73,2,0.0,1.0,106282.74,14.2,12212014,0
53,Bailey,695,Italy,Male,39.0,4,65521.2,1,1.0,1.0,1243.97,12.3,25248686,0
54,Cheng,495,Italy,Female,45.0,3,89158.94,3,1.0,0.0,135169.76,12.9,11294283,1
55,Yuan,581,EEUU,Male,25.0,5,77886.53,2,1.0,0.0,150319.49,11.9,15238878,0
56,Fang,829,Italy,Female,26.0,8,101440.36,2,1.0,1.0,19324.5,11.1,15397073,0
57,Paterson,796,Italy,Female,23.0,3,146584.19,2,0.0,0.0,125445.8,10.0,20345162,0
58,Ugonna,686,EEUU,Female,43.0,0,0.0,1,1.0,1.0,170072.9,14.0,14436872,0
59,Chinwendu,505,France,Male,40.0,6,47869.69,2,1.0,1.0,155061.97,13.5,28749334,0
60,Alexander,528,EEUU,Male,30.0,2,128262.72,2,1.0,0.0,50771.16,11.4,14390078,0
61,Beneventi,722,Italy,Female,50.0,4,132088.59,1,1.0,1.0,128262.14,14.4,17216452,0
62,Newbery,684,France,Male,18.0,9,90544.0,1,0.0,1.0,4777.23,6.9,10953456,0
63,P'an,785,France,Female,36.0,2,99806.85,1,0.0,1.0,36976.52,10.5,25938694,0
64,Gardener,607,Italy,Female,27.0,5,100912.19,1,0.0,0.0,7631.27,10.0,19100328,0
65,Mellor,667,France,Male,27.0,2,138032.15,1,1.0,0.0,166317.71,12.3,24172323,0
66,Thomson,480,EEUU,Female,28.0,6,0.0,2,0.0,0.0,48131.92,10.7,28346340,0
67,Bruno,806,France,Male,36.0,8,167983.17,2,1.0,1.0,106714.28,11.9,15603656,0
68,Ma,551,EEUU,Male,35.0,7,129717.3,2,0.0,0.0,86937.2,10.4,12582652,0
69,Yobachukwu,604,Italy,Female,35.0,7,147285.52,1,1.0,1.0,57807.05,11.6,24802825,0
70,Lane,466,EEUU,Female,30.0,3,0.0,1,1.0,0.0,193984.6,10.3,17416507,0
71,Ifeatu,601,France,Female,42.0,9,133636.16,1,0.0,1.0,103315.74,12.0,10104317,0
72,Lorenzo,674,EEUU,Male,46.0,2,174701.05,1,1.0,0.0,90189.72,13.6,16017938,1
73,Marcelo,531,EEUU,Male,31.0,3,0.0,1,1.0,1.0,42589.33,11.0,18462602,0
74,Tai,632,EEUU,Male,32.0,6,111589.33,1,1.0,1.0,170382.99,12.2,18684791,0
75,Boyle,636,France,Male,30.0,8,141787.31,2,1.0,1.0,109685.61,10.0,11936475,0
76,Coates,723,EEUU,Male,25.0,3,0.0,2,1.0,1.0,134509.47,10.0,15020034,0
77,Goddard,683,EEUU,Female,29.0,0,157829.12,1,0.0,0.0,129891.66,13.2,11663756,0
78,Ch'iu,661,Italy,Male,20.0,8,0.0,1,1.0,0.0,110252.53,11.4,15081793,0
79,Landry,627,France,Female,30.0,6,57809.32,1,1.0,0.0,188258.49,12.6,11765169,0
80,Lu,765,France,Female,46.0,8,119492.88,2,0.0,1.0,166896.01,11.9,20983828,1
81,To Rot,571,France,Female,66.0,9,111577.01,1,0.0,1.0,189271.9,17.3,25117373,0
82,Echezonachukwu,633,EEUU,Male,35.0,10,0.0,2,1.0,0.0,65675.47,9.6,21616200,0
83,Scott,636,EEUU,Female,45.0,7,139859.23,1,1.0,1.0,108402.54,11.6,17851880,0
84,Bulgakov,682,EEUU,Male,40.0,4,0.0,2,1.0,1.0,140745.91,13.2,15534608,0
85,H?,482,France,Female,48.0,2,69329.47,1,0.0,0.0,102640.52,11.4,15428515,1
86,McDonald,786,EEUU,Female,62.0,8,0.0,1,1.0,1.0,165702.64,15.8,18281066,0
87,Lo Duca,747,EEUU,Female,45.0,1,114959.12,1,1.0,0.0,189362.39,12.1,27543235,1
88,Sun,528,EEUU,Female,32.0,4,85615.66,2,1.0,0.0,156192.43,13.2,17578302,0
89,Ho,592,EEUU,Male,36.0,1,126477.42,1,0.0,0.0,179718.17,13.8,24523545,0
90,Chukwuemeka,432,EEUU,Female,27.0,6,62339.81,2,0.0,0.0,53874.67,9.6,15302478,0
91,Lucchese,620,France,Female,25.0,8,141825.88,1,1.0,1.0,73857.94,10.1,28535029,1
92,Madukaego,589,Italy,Female,46.0,10,0.0,2,0.0,1.0,168369.37,14.7,28784318,0
93,Akudinobi,675,Italy,Male,33.0,3,0.0,2,1.0,0.0,45348.08,11.2,18250611,0
94,Kozlova,652,EEUU,Male,51.0,7,0.0,2,0.0,1.0,43496.36,14.0,16957243,0
95,Pinto,638,France,Male,27.0,4,135096.05,1,1.0,1.0,186523.72,11.2,19267876,1
96,Meng,828,EEUU,Male,37.0,4,0.0,2,1.0,0.0,94845.45,11.3,19046982,0
97,Walton,710,France,Male,37.0,6,135795.63,1,0.0,1.0,46523.6,12.8,13737846,0
98,Chibuzo,553,EEUU,Male,37.0,1,0.0,1,1.0,0.0,30461.55,9.8,28381807,0
99,Udinese,726,Italy,Male,36.0,2,0.0,1,1.0,0.0,195192.4,11.1,10751113,0
100,Ginikanwa,710,France,Male,43.0,2,140080.32,3,1.0,1.0,157908.19,12.0,11213976,1
101,Blinova,491,France,Female,68.0,1,95039.12,1,0.0,1.0,116471.14,13.6,20654135,1
102,Moore,522,EEUU,Female,41.0,7,0.0,2,0.0,1.0,176780.39,14.0,22667399,0
103,Ponce,516,EEUU,Female,37.0,8,113143.12,1,0.0,0.0,3363.36,9.4,17229313,0
104,Chen,571,EEUU,Male,38.0,1,121405.04,1,1.0,1.0,154844.22,11.8,17293531,0
105,Milano,511,EEUU,Male,33.0,7,0.0,2,0.0,1.0,158313.87,10.1,18554046,0
106,Tuan,481,EEUU,Male,44.0,9,175303.06,1,1.0,0.0,65500.53,12.9,26754901,1
107,Calabresi,758,France,Male,68.0,6,112595.85,1,1.0,0.0,35865.44,12.8,27010917,1
108,Monaldo,656,France,Female,46.0,7,141535.52,1,1.0,0.0,50595.15,12.7,13793300,1
109,Bess,523,France,Male,41.0,0,119276.31,1,0.0,0.0,122284.38,13.8,15606366,1
110,Hsiao,567,EEUU,Male,39.0,5,0.0,2,0.0,0.0,168521.72,14.3,11128718,0
111,Fulks,850,EEUU,Male,19.0,8,0.0,1,1.0,1.0,68569.89,10.0,13543235,0
112,Dyer,750,EEUU,Female,26.0,1,151510.17,2,1.0,1.0,19921.72,8.3,21803453,0
113,Mordvinova,779,France,Male,33.0,1,158456.76,1,1.0,1.0,197000.92,12.3,27725185,1
114,Andreyeva,850,EEUU,Male,35.0,9,102050.47,1,1.0,1.0,3769.71,11.6,28139284,0
115,Gould,618,Italy,Male,33.0,4,0.0,2,1.0,1.0,77550.18,11.9,20836158,0
116,Lombardo,735,Italy,Male,36.0,5,0.0,2,1.0,0.0,105152.17,12.1,16316895,0
117,Ignatieff,710,Italy,Female,27.0,2,135277.96,1,1.0,0.0,142200.15,12.5,10447016,0
118,Baxter,714,France,Female,49.0,4,93059.34,1,1.0,0.0,7571.51,10.6,23984320,1
119,Li Fonti,850,Italy,Female,54.0,4,120952.74,1,1.0,0.0,66963.15,11.5,10639374,0
120,Eremenko,650,EEUU,Male,32.0,2,84906.45,1,1.0,0.0,163216.48,11.5,10725775,0
121,Babbage,794,EEUU,Male,56.0,9,96951.21,1,1.0,1.0,71776.76,12.7,16917122,0
122,Collier,573,EEUU,Female,36.0,1,0.0,1,1.0,1.0,56905.38,9.6,17987783,0
123,Loggia,757,EEUU,Male,47.0,3,130747.1,1,1.0,0.0,143829.54,11.2,20302931,0
124,Moon,670,Italy,Male,35.0,2,124268.64,2,0.0,1.0,84321.03,12.3,18648057,0
125,Cooke,669,EEUU,Male,37.0,1,125529.55,1,1.0,1.0,162260.93,12.7,14435542,0
126,Pagnotto,628,EEUU,Female,31.0,6,175443.75,1,1.0,0.0,113167.17,10.1,27958952,1
127,Wright,721,Italy,Male,33.0,5,0.0,2,0.0,1.0,117626.9,10.0,16910696,0
128,Bell,700,EEUU,Female,36.0,4,0.0,2,1.0,0.0,130789.15,10.5,15549642,0
129,Woods,500,Italy,Female,47.0,8,128486.11,1,1.0,0.0,179227.12,14.3,14327782,0
130,Hsieh,761,Italy,Female,32.0,4,103515.39,2,1.0,1.0,177622.38,13.9,23360132,0
131,Wynne,676,EEUU,Male,29.0,4,140720.93,1,1.0,0.0,36221.18,9.0,22951315,0
132,Coates,524,France,Female,31.0,10,67238.98,2,1.0,1.0,161811.23,13.2,25227052,0
133,Palermo,709,EEUU,Male,39.0,8,0.0,2,1.0,0.0,56214.09,12.7,11087337,0
134,Pirogov,562,Italy,Male,36.0,5,0.0,1,0.0,1.0,182843.24,11.5,26526418,0
135,Sinclair,562,France,Male,33.0,8,92659.2,2,1.0,0.0,1354.25,12.3,13784307,0
136,Dalton,773,Italy,Male,41.0,9,102827.44,1,0.0,1.0,64595.25,12.2,12767656,0
137,Obielumani,709,Italy,Male,35.0,2,0.0,2,1.0,0.0,104982.39,12.4,19437823,0
138,T'an,656,EEUU,Male,39.0,10,0.0,2,1.0,1.0,98894.64,13.6,13863938,0
139,Bates,771,Italy,Female,47.0,3,72664.0,2,1.0,1.0,107874.39,14.7,27927065,0
140,Bykov,699,France,Male,34.0,4,185173.81,2,1.0,0.0,120834.48,12.5,17695692,0
141,Perry,590,EEUU,Male,40.0,8,0.0,2,1.0,0.0,62933.03,9.7,21502755,0
142,Uwaezuoke,521,Italy,Female,49.0,4,82940.25,2,0.0,0.0,62413.01,11.1,20833243,1
143,Ts'ao,520,Italy,Female,42.0,6,0.0,2,1.0,1.0,34410.55,10.8,15856751,0
144,Sal,687,EEUU,Female,26.0,6,0.0,2,1.0,1.0,32909.13,8.0,18293344,0
145,Watt,469,France,Female,52.0,8,139493.25,3,0.0,0.0,150093.32,15.5,26071827,1
146,Clayton,607,EEUU,Female,31.0,1,102523.88,1,1.0,1.0,166792.71,13.6,21940839,0
147,Lu,594,EEUU,Male,57.0,6,0.0,1,1.0,0.0,19376.56,14.8,17466926,1
148,Chiang,521,EEUU,Male,37.0,2,0.0,2,1.0,1.0,86372.24,13.4,11958840,0
149,Laurens,663,Italy,Male,64.0,6,0.0,2,0.0,1.0,15876.52,14.5,28492052,0
150,Stange,529,EEUU,Female,31.0,5,0.0,2,1.0,0.0,26817.23,9.8,16146664,0
151,Fleetwood-Smith,525,EEUU,Female,59.0,6,55328.4,1,1.0,0.0,83342.73,12.2,13146993,1
152,Kanayochukwu,682,France,Female,29.0,6,101012.77,1,0.0,0.0,32589.89,10.4,26758891,1
153,Mironova,765,Italy,Female,33.0,5,84557.82,1,1.0,1.0,69039.43,9.2,26041095,0
154,Groves,588,France,Male,33.0,9,150186.22,2,1.0,1.0,65611.01,10.0,17057996,0
155,Ibeamaka,704,EEUU,Female,33.0,0,130499.09,2,1.0,1.0,74804.36,12.5,16112576,0
156,Iweobiegbulam,555,EEUU,Female,44.0,3,105770.7,3,1.0,0.0,60533.96,13.8,12594216,1
157,Otitodilinna,533,EEUU,Male,36.0,7,85311.7,1,0.0,1.0,156731.91,10.7,21006415,0
158,Chandler,666,France,Male,30.0,3,110153.27,1,0.0,1.0,74849.46,8.9,17569824,0
159,Birdsall,783,France,Female,42.0,2,139707.28,1,1.0,0.0,2150.22,11.1,15043998,0
160,Lindeman,411,EEUU,Male,29.0,0,59697.17,2,1.0,1.0,53483.21,12.2,15989016,0
161,Grant,526,EEUU,Male,30.0,9,0.0,2,0.0,0.0,100995.68,11.1,21448239,0
162,Woronoff,566,France,Male,54.0,4,118614.6,2,1.0,1.0,172601.62,13.3,26998374,0
163,Odinakachukwu,497,EEUU,Male,47.0,6,0.0,1,1.0,1.0,90055.08,13.3,24975725,0
164,McCall,744,EEUU,Male,31.0,9,120718.28,1,1.0,1.0,58961.49,10.3,17372187,0
165,Warner,582,France,Male,32.0,1,88938.62,1,1.0,1.0,10054.53,10.2,10327828,0
166,Ts'ao,552,France,Male,39.0,2,132906.88,1,0.0,1.0,149384.43,12.8,20375937,0
167,Allan,712,EEUU,Male,34.0,1,0.0,2,1.0,1.0,195052.12,14.2,23491903,0
168,Harding,493,EEUU,Female,37.0,8,142987.46,2,1.0,0.0,158840.99,13.7,13793570,0
169,Madueke,649,Italy,Male,36.0,8,0.0,2,1.0,0.0,161668.15,11.1,22069238,0
170,Kao,661,Italy,Female,28.0,7,95357.49,1,0.0,0.0,102297.15,10.9,23298605,0
171,Kang,544,Italy,Female,53.0,9,0.0,1,1.0,0.0,125692.07,12.8,18312614,1
172,Swift,686,Italy,Male,38.0,7,111484.88,1,1.0,1.0,76076.2,13.5,14797691,0
173,Shih,671,France,Female,23.0,9,123943.18,1,1.0,1.0,159553.27,11.3,24857094,0
174,Thynne,706,Italy,Male,28.0,3,0.0,2,0.0,1.0,181543.67,10.7,19960482,0
175,Gorshkov,553,EEUU,Male,33.0,4,118082.89,1,0.0,0.0,94440.45,11.4,14568430,0
176,Craig,571,France,Male,25.0,6,82506.72,2,1.0,0.0,167705.07,10.5,26481191,0
177,Whitworth,603,EEUU,Male,38.0,8,59360.77,1,1.0,1.0,191457.06,12.7,22636553,0
178,Han,696,EEUU,Female,41.0,8,0.0,2,0.0,0.0,28276.83,11.1,16005367,0
179,Myers,752,EEUU,Male,33.0,4,0.0,2,1.0,1.0,39570.78,10.8,27296597,0
180,Ogochukwu,715,EEUU,Male,32.0,8,175307.32,1,1.0,0.0,187051.23,11.6,27116013,0
181,Golibe,810,France,Male,35.0,3,96814.46,2,1.0,1.0,120511.03,12.9,24747898,0
182,Chialuka,520,France,Male,43.0,3,150805.17,3,0.0,1.0,25333.03,12.7,23876335,1
183,Sal,662,France,Male,59.0,2,104568.41,1,1.0,0.0,8059.44,13.1,24871638,1
184,Board,751,EEUU,Male,29.0,1,135536.5,1,1.0,0.0,66825.33,9.1,26359187,0
185,Walpole,636,France,Female,29.0,3,97325.15,1,0.0,1.0,131924.38,13.1,10565224,0
186,Mironova,656,Italy,Female,40.0,10,167878.5,1,0.0,1.0,151887.16,11.7,15873127,0
187,Diggs,424,Italy,Male,34.0,7,0.0,1,1.0,1.0,16250.61,10.6,15540517,0
188,Martin,718,EEUU,Male,37.0,8,0.0,2,1.0,1.0,142.81,10.8,10492264,0
189,T'ien,501,EEUU,Female,41.0,3,144260.5,1,1.0,0.0,172114.67,12.4,17958431,0
190,Golubova,586,France,Female,47.0,5,157099.47,2,1.0,1.0,65481.86,12.6,13853840,0
191,Clark,710,Italy,Female,75.0,5,0.0,2,1.0,1.0,9376.89,16.1,20843413,0
192,Patel,748,EEUU,Male,44.0,4,112610.77,1,0.0,1.0,2048.55,12.0,27058049,0
193,Liang,494,EEUU,Male,69.0,9,93320.8,1,1.0,1.0,24489.44,15.6,23492459,0
194,Genovese,580,France,Male,24.0,1,133811.78,1,1.0,0.0,17185.95,10.3,17699339,1
195,Ellis,497,France,Female,32.0,8,111537.23,4,1.0,1.0,9497.99,11.4,22813592,1
196,Robson,744,France,Male,38.0,6,73023.17,2,1.0,0.0,78770.86,13.3,26773425,0
197,Wall,591,EEUU,Male,28.0,5,0.0,2,1.0,1.0,48606.92,8.5,14910919,0
198,Ch'ien,638,EEUU,Female,48.0,10,138333.03,1,1.0,1.0,47679.14,12.3,10311286,0
199,Sal,581,Italy,Male,46.0,2,79385.21,2,0.0,0.0,188492.82,11.6,19882090,0
200,Mazzanti,782,Italy,Female,27.0,3,0.0,2,1.0,0.0,143614.01,10.5,20107376,0
201,Liu,559,EEUU,Female,29.0,3,79715.36,1,1.0,0.0,82252.28,12.0,20604933,0
202,Otitodilichukwu,850,France,Male,38.0,3,54901.01,1,1.0,1.0,140075.55,12.4,27916005,0
203,Simpson,596,Italy,Female,54.0,0,78126.28,1,1.0,1.0,153482.91,14.0,12108020,1
204,Hovell,633,Italy,Male,63.0,4,114552.6,1,1.0,0.0,73856.28,15.8,25032011,1
205,Grant,542,EEUU,Male,39.0,3,135096.77,1,1.0,1.0,14353.43,9.4,28356852,1
206,Ts'ao,581,EEUU,Male,35.0,4,0.0,2,0.0,1.0,86383.82,11.6,26580251,0
207,Teng,698,EEUU,Male,48.0,4,101238.24,2,0.0,1.0,177815.87,13.7,27232695,1
208,Hill,683,EEUU,Female,32.0,9,0.0,2,1.0,1.0,24991.92,9.1,14967554,0
209,Conti,729,France,Male,30.0,6,63669.42,1,1.0,0.0,145111.37,13.3,12777727,0
210,Simmons,646,EEUU,Male,36.0,6,124445.52,1,1.0,0.0,88481.32,11.8,24025233,0
211,Gboliwe,611,EEUU,Male,38.0,4,71018.6,2,1.0,0.0,2444.29,9.0,20355192,0
212,Otitodilichukwu,728,Italy,Female,43.0,5,0.0,1,1.0,1.0,120088.17,11.6,21187721,0
213,Simmons,455,EEUU,Female,27.0,5,155879.09,2,0.0,0.0,70774.97,10.3,28578556,0
214,Gibson,627,Italy,Female,55.0,6,0.0,1,0.0,0.0,91943.94,15.2,11236919,1
215,Brown,693,EEUU,Male,40.0,4,130661.96,1,1.0,1.0,101918.96,12.7,15145333,0
216,Milano,510,France,Female,50.0,7,123936.54,1,1.0,1.0,23768.01,11.1,27229702,0
217,Allen,600,France,Female,39.0,7,88477.36,2,1.0,0.0,58632.37,12.6,18072726,0
218,Ross,636,France,Male,67.0,7,136709.35,1,0.0,1.0,66753.1,14.3,19924457,1
219,Smith,472,EEUU,Male,31.0,4,58662.92,2,0.0,1.0,73322.0,12.4,21323720,0
220,Hsing,789,EEUU,Male,31.0,4,175477.15,1,1.0,1.0,172832.9,10.6,27441284,0
221,Egobudike,573,Italy,Male,41.0,5,0.0,2,0.0,1.0,14479.29,9.7,21366537,0
222,Thompson,692,EEUU,Female,36.0,3,0.0,2,1.0,1.0,8282.22,10.4,24030444,0
223,Gibson,512,EEUU,Male,24.0,6,0.0,2,1.0,0.0,37654.31,11.5,18925910,0
224,Franklin,657,Italy,Male,41.0,8,109402.13,1,1.0,1.0,66463.62,12.2,12066853,0
225,White,572,France,Female,54.0,9,97382.53,1,1.0,1.0,195771.95,14.2,17564689,0
226,Davies,707,Italy,Male,32.0,9,0.0,2,1.0,0.0,126475.79,10.9,19868214,0
227,Olejuru,541,EEUU,Male,46.0,6,0.0,2,1.0,1.0,83456.67,13.2,12138303,0
228,Zikoranachukwudimma,692,EEUU,Male,66.0,4,159732.02,1,1.0,1.0,118188.15,15.5,16938218,0
229,Yashina,724,EEUU,Female,40.0,6,110054.45,1,1.0,1.0,86950.72,12.0,22818689,0
230,Clements,531,Italy,Male,27.0,8,132576.25,1,0.0,0.0,7222.92,11.0,28676963,0
231,Morgan,487,France,Female,61.0,5,110368.03,1,0.0,0.0,11384.45,11.4,13944393,1
232,Rippey,565,EEUU,Male,34.0,6,0.0,1,1.0,1.0,63173.64,11.3,22479449,0
233,Bianchi,804,France,Female,33.0,10,138335.96,1,1.0,1.0,80483.76,9.6,10117877,0
234,Skinner,492,EEUU,Male,39.0,7,0.0,2,0.0,1.0,71323.23,11.9,22850755,0
235,Grant,804,EEUU,Female,71.0,8,0.0,2,0.0,1.0,147995.96,14.1,18254272,0
236,Sleeman,690,EEUU,Female,42.0,3,92578.14,2,0.0,0.0,70810.6,12.1,19852079,0
237,Nnamdi,558,France,Male,32.0,4,108235.91,1,1.0,1.0,143783.28,12.9,26941307,0
238,T'ien,798,EEUU,Male,22.0,8,0.0,2,1.0,0.0,107615.43,12.2,12111683,0
239,Waring,446,Italy,Female,45.0,10,125191.69,1,1.0,1.0,128260.86,12.7,20609374,1
240,Wallace,603,France,Female,55.0,7,127723.25,2,1.0,0.0,139469.11,13.9,12888970,1
241,Yen,430,France,Male,36.0,1,138992.48,2,0.0,0.0,122373.42,12.7,15096879,0
242,Becher,665,EEUU,Female,34.0,1,96645.54,2,0.0,0.0,171413.66,12.9,21745586,0
243,Hughes,745,EEUU,Female,46.0,7,0.0,2,1.0,1.0,67769.94,12.0,27171413,0
244,Uren,528,France,Female,46.0,9,135555.66,1,1.0,0.0,133146.03,14.9,18814647,1
245,Kenechukwu,528,EEUU,Male,37.0,6,103772.45,1,1.0,0.0,197111.99,11.8,10528713,0
246,Teng,744,Italy,Male,30.0,1,128065.12,1,1.0,0.0,121525.48,9.7,12453168,0
247,Mashman,674,Italy,Male,32.0,2,0.0,2,1.0,0.0,140579.17,11.4,20437609,0
248,Moore,674,France,Male,43.0,8,85957.88,2,1.0,0.0,8757.39,13.2,25280049,0
249,Thorpe,786,Italy,Female,32.0,6,114512.59,1,1.0,0.0,15796.66,11.2,14679859,0
250,Nkemakonam,581,France,Male,50.0,2,143829.2,2,1.0,0.0,181224.24,12.4,10687837,1
251,Bennett,524,EEUU,Female,36.0,10,0.0,2,1.0,0.0,109614.57,11.8,11647736,0
252,Briggs,519,EEUU,Female,38.0,7,125328.56,1,1.0,0.0,188225.67,13.6,22858519,0
253,Heath,695,EEUU,Male,49.0,9,159458.53,1,1.0,0.0,135841.35,14.5,21204459,0
254,Quinn,676,EEUU,Male,38.0,1,0.0,2,0.0,1.0,35644.79,9.7,14267151,0
255,Ikechukwu,764,France,Male,34.0,6,108760.27,2,1.0,0.0,166324.79,12.2,12208405,1
256,Onyemere,734,Italy,Female,39.0,6,92126.26,2,0.0,0.0,112973.34,13.8,16922333,0
257,Lazarev,682,France,Female,43.0,7,111094.05,2,1.0,1.0,64679.3,13.8,22590361,0
258,Hsieh,651,EEUU,Male,34.0,4,91562.99,1,1.0,1.0,123954.15,11.7,17088471,0
259,Achebe,710,EEUU,Male,30.0,6,0.0,2,1.0,1.0,8991.17,9.6,18873329,0
260,Nevels,506,France,Female,59.0,3,190353.08,1,1.0,0.0,78365.75,12.8,18683417,0
261,Gibson,716,EEUU,Female,29.0,6,0.0,2,1.0,1.0,98998.61,10.6,17782207,0
262,Tu,801,Italy,Male,58.0,1,79954.61,2,1.0,1.0,30484.19,14.7,27579322,0
263,Uwakwe,518,France,Female,41.0,5,110624.99,1,1.0,0.0,89327.67,12.3,11957380,0
264,Craig,593,France,Female,29.0,5,101713.84,3,1.0,0.0,134594.99,12.9,20439102,0
265,Kibby,636,Italy,Male,60.0,7,124447.73,1,1.0,1.0,141364.62,13.4,14043021,1
266,David,587,Italy,Male,42.0,5,120233.83,1,1.0,0.0,194890.33,14.6,26380794,0
